Airline,Month,Passengers_In,Passengers_Out
Samoa Airways,Jan,2257.0,1334.0
Samoa Airways,Jul,1617.0,1677.0
Samoa Airways,Jun,1336.0,1671.0
Samoa Airways,Mar,1145.0,937.0
Samoa Airways,May,1423.0,1268.0
Samoa Airways,Nov,1688.0,1587.0
Samoa Airways,Oct,1947.0,1633.0
Samoa Airways,Sep,1905.0,1871.0
Scoot Tigerair,Apr,25097.0,26513.0
Scoot Tigerair,Aug,26502.0,25240.0
Scoot Tigerair,Dec,41460.0,55202.0
Scoot Tigerair,Feb,30897.0,22651.0
Scoot Tigerair,Jan,36117.0,29692.0
Scoot Tigerair,Jul,32257.0,28619.0
Scoot Tigerair,Jun,22114.0,27368.0
Scoot Tigerair,Mar,27068.0,24459.0
Scoot Tigerair,May,20786.0,19017.0
Scoot Tigerair,Nov,34309.0,35686.0
Scoot Tigerair,Oct,34260.0,28980.0
Scoot Tigerair,Sep,28729.0,28918.0
Sichuan Airlines,Apr,5214.0,5694.0
Sichuan Airlines,Aug,4536.0,4647.0
Sichuan Airlines,Dec,4121.0,7048.0
Sichuan Airlines,Feb,5449.0,4220.0
Sichuan Airlines,Jan,5554.0,4557.0
Sichuan Airlines,Jul,6123.0,4239.0
Sichuan Airlines,Jun,3408.0,5473.0
Sichuan Airlines,Mar,4392.0,3990.0
Sichuan Airlines,May,3727.0,4551.0
Sichuan Airlines,Nov,4216.0,5085.0
Sichuan Airlines,Oct,5151.0,4510.0
Sichuan Airlines,Sep,3864.0,4526.0
Silk Air,Apr,4881.0,5581.0
Silk Air,Aug,7472.0,9126.0
Silk Air,Dec,6038.0,9621.0
Silk Air,Feb,4632.0,3762.0
Silk Air,Jan,7153.0,5810.0
Silk Air,Jul,8892.0,7782.0
Silk Air,Jun,5560.0,7107.0
Silk Air,Mar,3765.0,4090.0
Silk Air,May,4794.0,5550.0
Silk Air,Nov,6348.0,6792.0
Silk Air,Oct,8325.0,7340.0
Silk Air,Sep,7485.0,6811.0
Singapore Airlines,Apr,144605.0,150160.0
Singapore Airlines,Aug,151355.0,148586.0
Singapore Airlines,Dec,143594.0,172933.0
Singapore Airlines,Feb,145765.0,117067.0
Singapore Airlines,Jan,168246.0,145467.0
Singapore Airlines,Jul,170605.0,146399.0
Singapore Airlines,Jun,138426.0,160142.0
Singapore Airlines,Mar,136824.0,133947.0
Singapore Airlines,May,138414.0,138862.0
Singapore Airlines,Nov,145818.0,146466.0
Singapore Airlines,Oct,165042.0,141769.0
Singapore Airlines,Sep,150069.0,146679.0
Solomon Airlines,Apr,1512.0,1302.0
Solomon Airlines,Aug,1828.0,1475.0
Solomon Airlines,Dec,1755.0,1830.0
Solomon Airlines,Feb,1142.0,1141.0
Solomon Airlines,Jan,1690.0,1411.0
Solomon Airlines,Jul,1995.0,1677.0
Solomon Airlines,Jun,1621.0,1609.0
Solomon Airlines,Mar,1628.0,1409.0
Solomon Airlines,May,1618.0,1508.0
Solomon Airlines,Nov,1865.0,1693.0
Solomon Airlines,Oct,1913.0,1640.0
Solomon Airlines,Sep,1720.0,1869.0
South African Airways,Apr,6403.0,6797.0
South African Airways,Aug,5829.0,5661.0
South African Airways,Dec,5809.0,7193.0
South African Airways,Feb,5007.0,4018.0
South African Airways,Jan,6901.0,6297.0
South African Airways,Jul,6692.0,5824.0
South African Airways,Jun,4951.0,5709.0
South African Airways,Mar,5345.0,5754.0
South African Airways,May,5406.0,5655.0
South African Airways,Nov,4431.0,4712.0
South African Airways,Oct,6696.0,4996.0
